massa,raggio
3.26783e+30,32061.2
3.26813e+30,32060.2
3.26842e+30,32059.2
3.26872e+30,32058.2
3.26902e+30,32057.3
3.26932e+30,32056.3
3.26962e+30,32055.3
3.26992e+30,32054.3
3.27021e+30,32053.4
3.27051e+30,32052.4
3.27081e+30,32051.4
3.27111e+30,32050.4
3.27141e+30,32049.5
3.27171e+30,32048.5
3.272e+30,32047.5
3.2723e+30,32046.5
3.2726e+30,32045.6
3.2729e+30,32044.6
3.2732e+30,32043.6
3.2735e+30,32042.6
3.27379e+30,32041.7
3.27409e+30,32040.7
3.27439e+30,32039.7
3.27469e+30,32038.8
3.27499e+30,32037.8
3.27529e+30,32036.8
3.27558e+30,32035.8
3.27588e+30,32034.9
3.27618e+30,32033.9
3.27648e+30,32032.9
3.27678e+30,32031.9
3.27708e+30,32031
3.27737e+30,32030
3.27767e+30,32029
3.27797e+30,32028.1
3.27827e+30,32027.1
3.27857e+30,32026.1
3.27887e+30,32025.1
3.27916e+30,32024.2
3.27946e+30,32023.2
3.27976e+30,32022.2
3.28006e+30,32021.3
3.28036e+30,32020.3
3.28066e+30,32019.3
3.28095e+30,32018.3
3.28125e+30,32017.4
3.28155e+30,32016.4
3.28185e+30,32015.4
3.28215e+30,32014.5
3.28245e+30,32013.5
3.28275e+30,32012.5
3.28304e+30,32011.6
3.28334e+30,32010.6
3.28364e+30,32009.6
3.28394e+30,32008.6
3.28424e+30,32007.7
3.28454e+30,32006.7
3.28483e+30,32005.7
3.28513e+30,32004.8
3.28543e+30,32003.8
3.28573e+30,32002.8
3.28603e+30,32001.9
3.28633e+30,32000.9
3.28662e+30,31999.9
3.28692e+30,31999
3.28722e+30,31998
3.28752e+30,31997
3.28782e+30,31996.1
3.28812e+30,31995.1
3.28841e+30,31994.1
3.28871e+30,31993.2
3.28901e+30,31992.2
3.28931e+30,31991.2
3.28961e+30,31990.3
3.28991e+30,31989.3
3.2902e+30,31988.3
3.2905e+30,31987.3
3.2908e+30,31986.4
3.2911e+30,31985.4
3.2914e+30,31984.4
3.2917e+30,31983.5
3.29199e+30,31982.5
3.29229e+30,31981.6
3.29259e+30,31980.6
3.29289e+30,31979.6
3.29319e+30,31978.7
3.29349e+30,31977.7
3.29378e+30,31976.7
3.29408e+30,31975.8
3.29438e+30,31974.8
3.29468e+30,31973.8
3.29498e+30,31972.9
3.29528e+30,31971.9
3.29557e+30,31970.9
3.29587e+30,31970
3.29617e+30,31969
3.29647e+30,31968
3.29677e+30,31967.1
3.29707e+30,31966.1
3.29736e+30,31965.1
3.29766e+30,31964.2
3.29796e+30,31963.2
3.29826e+30,31962.3
3.29856e+30,31961.3
3.29886e+30,31960.3
3.29915e+30,31959.4
3.29945e+30,31958.4
3.29975e+30,31957.4
3.30005e+30,31956.5
3.30035e+30,31955.5
3.30065e+30,31954.5
3.30094e+30,31953.6
3.30124e+30,31952.6
3.30154e+30,31951.7
3.30184e+30,31950.7
3.30214e+30,31949.7
3.30244e+30,31948.8
3.30273e+30,31947.8
3.30303e+30,31946.8
3.30333e+30,31945.9
3.30363e+30,31944.9
3.30393e+30,31944
3.30423e+30,31943
3.30452e+30,31942
3.30482e+30,31941.1
3.30512e+30,31940.1
3.30542e+30,31939.2
3.30572e+30,31938.2
3.30602e+30,31937.2
3.30631e+30,31936.3
3.30661e+30,31935.3
3.30691e+30,31934.4
3.30721e+30,31933.4
3.30751e+30,31932.4
3.30781e+30,31931.5
3.3081e+30,31930.5
3.3084e+30,31929.6
3.3087e+30,31928.6
